kpi,auc,accuracy,Precision,Recall,F1 score
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.553921569,0.719008264,0.820754717,0.852941176,0.836538462
data/kpi/kpi_23.csv,0.507212389,0.731234867,0.729927007,1,0.843881857
data/kpi/kpi_24.csv,0.054064272,0.100543478,0.85,0.049275362,0.093150685
data/kpi/kpi_25.csv,0.324646536,0.329166667,0.275068279,0.260051641,0.267349261
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.534313725,0.214876033,1,0.068627451,0.128440367
data/kpi/kpi_23.csv,0.493480826,0.285714286,0.666666667,0.033333333,0.063492063
data/kpi/kpi_24.csv,0.024952741,0.065217391,1,0.002898551,0.005780347
data/kpi/kpi_25.csv,0.568084559,0.546180556,0.509705823,0.939505717,0.660871821
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.534313725,0.214876033,1,0.068627451,0.128440367
data/kpi/kpi_23.csv,0.638643068,0.726392252,0.798722045,0.833333333,0.815660685
data/kpi/kpi_24.csv,0.986389414,0.9375,0.9375,1,0.967741935
data/kpi/kpi_25.csv,0.305024693,0.306944444,0.266836549,0.270379934,0.268596556
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.612745098,0.347107438,1,0.225490196,0.368
data/kpi/kpi_23.csv,0.907654867,0.886198547,0.980988593,0.86,0.91651865
data/kpi/kpi_24.csv,0.194833018,0.195652174,0.962264151,0.147826087,0.256281407
data/kpi/kpi_25.csv,0.326948722,0.357986111,0.28496732,0.241239395,0.261286456
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.546697626,0.272727273,0.9375,0.147058824,0.254237288
data/kpi/kpi_23.csv,0.943908555,0.92251816,0.996296296,0.896666667,0.943859649
data/kpi/kpi_24.csv,0.976937618,0.921195652,0.936464088,0.982608696,0.958981612
data/kpi/kpi_25.csv,0.696875598,0.69375,0.652594264,0.746956842,0.696594427
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.504901961,0.165289256,1,0.009803922,0.019417476
data/kpi/kpi_23.csv,0.517300885,0.314769976,0.84,0.07,0.129230769
data/kpi/kpi_24.csv,0.181726528,0.220108696,0.953125,0.176811594,0.298288509
data/kpi/kpi_25.csv,0.495611456,0.46875,0.468266958,0.94983401,0.6272838
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.485294118,0.818181818,0.838983051,0.970588235,0.9
data/kpi/kpi_23.csv,0.505,0.278450363,1,0.006666667,0.013245033
data/kpi/kpi_24.csv,0.608443604,0.83423913,0.93030303,0.889855072,0.90962963
data/kpi/kpi_25.csv,0.687623967,0.686458333,0.654384169,0.707488012,0.679900744
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.529411765,0.198347107,1,0.049019608,0.093457944
data/kpi/kpi_23.csv,0.329321534,0.283292978,0.515625,0.22,0.308411215
data/kpi/kpi_24.csv,0.057214871,0.08423913,0.9,0.026086957,0.050704225
data/kpi/kpi_25.csv,0.500184615,0.529166667,0.485714286,0.006270749,0.012381646
,,,,,
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.507997936,0.20661157,0.875,0.068627451,0.127272727
data/kpi/kpi_23.csv,0.478053097,0.273607748,0.5,0.026666667,0.050632911
data/kpi/kpi_24.csv,0.925078765,0.907608696,0.940509915,0.962318841,0.951289398
data/kpi/kpi_25.csv,0.500962637,0.529340278,0.5,0.000368868,0.000737191
,,,,,
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
data/kpi/kpi_11.csv,0.426470588,0.719008264,0.820754717,0.852941176,0.836538462
data/kpi/kpi_23.csv,0.318657817,0.447941889,0.625874126,0.596666667,0.610921502
data/kpi/kpi_24.csv,0.074858223,0.105978261,0.766666667,0.066666667,0.122666667
data/kpi/kpi_25.csv,0.507056997,0.478645833,0.474232263,0.991147178,0.641518443
,,,,,
data/kpi/kpi_25.csv,0.5,0.529340278,0,0,0
data/kpi/kpi_11.csv,0.534313725,0.214876033,1,0.068627451,0.128440367
data/kpi/kpi_23.csv,0.5,0.273607748,0,0,0
data/kpi/kpi_24.csv,0.605040958,0.630434783,0.913043478,0.669565217,0.772575251
data/kpi/kpi_8.csv,0.127760252,0.201492537,0.487951807,0.255520505,0.335403727
data/kpi/kpi_8.csv,0.5,0.211442786,0,0,0
