kpi,auc,accuracy,Precision,Recall,F1 score
data/kpi/kpi_0.csv,0.275874572,0.620811287,0.818181818,0.005211349,0.010356732
data/kpi/kpi_1.csv,nan,0.000386698,0,0,0
data/kpi/kpi_2.csv,0.216202124,0.973421927,0,0,0
data/kpi/kpi_3.csv,0.488855426,0.916854915,0.00684262,0.053030303,0.012121212
data/kpi/kpi_4.csv,0.404714537,0.926684476,0.016304348,0.043478261,0.023715415
data/kpi/kpi_5.csv,0.375232108,0.404412195,0.099463519,0.341814159,0.154089096
data/kpi/kpi_6.csv,0.5,0.970423805,0,0,0
data/kpi/kpi_7.csv,nan,0.926628195,0,0,0
data/kpi/kpi_8.csv,0.529749494,0.333333333,0.292890995,0.974763407,0.450437318
data/kpi/kpi_9.csv,0.357170543,0.923433875,0.005154639,0.166666667,0.01
data/kpi/kpi_10.csv,0.253388846,0.916860015,0,0,0
data/kpi/kpi_11.csv,0.508664872,0.064796523,0.039382866,0.989795918,0.07575166
data/kpi/kpi_12.csv,0.749382086,0.569897084,0.546008531,0.776429809,0.641144902
data/kpi/kpi_13.csv,0.996465918,0.00154679,0.00154679,1,0.003088803
data/kpi/kpi_14.csv,0.57910769,0.481300245,0.03960396,0.674157303,0.074812968
data/kpi/kpi_15.csv,0.499867192,0.893314873,0,0,0
data/kpi/kpi_16.csv,nan,0.449772934,0,0,0
data/kpi/kpi_17.csv,0.347068126,0.409984871,0.287026406,0.312891114,0.299401198
data/kpi/kpi_18.csv,0.642771961,0.883861671,0.056410256,0.385964912,0.098434004
data/kpi/kpi_19.csv,0.757690977,0.128602913,0.000396609,0.8,0.000792825
data/kpi/kpi_20.csv,0.368695102,0.571842201,0.015384615,0.151785714,0.027937551
data/kpi/kpi_21.csv,0.547815902,0.763298969,0.005226481,0.5,0.010344828
data/kpi/kpi_22.csv,0.551750505,0.461501641,0.004309252,0.641509434,0.008560997
data/kpi/kpi_23.csv,0.377148333,0.363355105,0.065995526,0.393333333,0.11302682
data/kpi/kpi_24.csv,nan,0.99704142,1,0.99704142,0.998518519
