kpi,auc,accuracy,Precision,Recall,F1 score
data/kpi/kpi_0.csv,0.220171701,0.621112571,0,0,0
data/kpi/kpi_1.csv,nan,0.996559633,0,0,0
data/kpi/kpi_2.csv,0.602814448,0.549839228,0.035211268,0.625,0.066666667
data/kpi/kpi_3.csv,0.513961115,0.138663968,0.045778612,0.924242424,0.087236325
data/kpi/kpi_4.csv,0.22499456,0.902030009,0.025179856,0.101449275,0.040345821
data/kpi/kpi_5.csv,0.469247866,0.631674507,0.198623064,0.212758112,0.205447748
data/kpi/kpi_6.csv,0.304878049,0.611814346,0.665137615,0.884146341,0.759162304
data/kpi/kpi_7.csv,nan,0.068403909,0,0,0
data/kpi/kpi_8.csv,0.474763407,0.748756219,0.779792746,0.949526814,0.856330014
data/kpi/kpi_9.csv,0.554270209,0.061381074,0.005420054,1,0.010781671
data/kpi/kpi_10.csv,0.179333903,0.500425532,0,0,0
data/kpi/kpi_11.csv,0.450980392,0.768595041,0.830357143,0.911764706,0.869158879
data/kpi/kpi_12.csv,0.311890975,0.445808637,0.413793103,0.322357019,0.362396493
data/kpi/kpi_13.csv,0.027493606,0.308411215,0,0,0
data/kpi/kpi_14.csv,0.49737756,0.068277946,0.053472649,0.97752809,0.101398601
data/kpi/kpi_15.csv,0.499877351,0.534220532,0.428571429,0.004459309,0.008826775
data/kpi/kpi_16.csv,nan,0.986775574,0,0,0
data/kpi/kpi_17.csv,0.623021363,0.57277695,0.470068695,0.599499374,0.526952695
data/kpi/kpi_18.csv,0.588211441,0.420415879,0.055172414,0.771929825,0.102984201
data/kpi/kpi_19.csv,0.800103622,0.381122955,0.000557647,0.8,0.001114517
data/kpi/kpi_20.csv,0.645546806,0.673992674,0.649350649,0.446428571,0.529100529
data/kpi/kpi_21.csv,0.380819367,0.367567568,0.025641026,0.5,0.048780488
data/kpi/kpi_22.csv,0.462205533,0.120831839,0.017303823,0.811320755,0.033884949
data/kpi/kpi_23.csv,0.5,0.726392252,0.726392252,1,0.841514727
data/kpi/kpi_24.csv,0.750850662,0.736413043,0.966165414,0.744927536,0.841243863
data/kpi/kpi_25.csv,0.491099028,0.517708333,0.359832636,0.031722612,0.058305085
,,,,,
,,,,,
data/kpi/kpi_0.csv,0.68438388,0.639290407,0.51843318,0.651418645,0.577367206
data/kpi/kpi_1.csv,nan,1,0,0,0
data/kpi/kpi_2.csv,0.748693619,0.894962487,0.144230769,0.625,0.234375
data/kpi/kpi_3.csv,0.38558252,0.723009447,0.002886003,0.015151515,0.004848485
data/kpi/kpi_4.csv,0.608354006,0.367461018,0.021168891,0.666666667,0.04103479
data/kpi/kpi_5.csv,0.629357501,0.432367748,0.269375554,0.897123894,0.414339237
data/kpi/kpi_6.csv,0.599899766,0.755274262,0.747663551,0.975609756,0.846560847
data/kpi/kpi_7.csv,nan,0.254071661,0,0,0
data/kpi/kpi_8.csv,0.430599369,0.781094527,0.786967419,0.990536278,0.877094972
data/kpi/kpi_9.csv,0.157240788,0.508951407,0.001748252,0.166666667,0.003460208
data/kpi/kpi_10.csv,0.716268147,0.626382979,0.006802721,0.75,0.013483146
data/kpi/kpi_11.csv,0.29747162,0.26446281,0.675675676,0.245098039,0.35971223
data/kpi/kpi_12.csv,0.08658015,0.509314141,0.441860465,0.016464471,0.031746032
data/kpi/kpi_13.csv,0.992327366,0.684791844,0.010666667,1,0.021108179
data/kpi/kpi_14.csv,0.625234979,0.370996979,0.072710952,0.91011236,0.134663342
data/kpi/kpi_15.csv,0.4811596,0.51071552,0.340182648,0.055369751,0.095238095
data/kpi/kpi_16.csv,nan,0.561856606,0,0,0
data/kpi/kpi_17.csv,0.908303831,0.394436165,0.395418327,0.993742178,0.565728536
data/kpi/kpi_18.csv,0.615511517,0.558034026,0.063688999,0.675438596,0.116402116
data/kpi/kpi_19.csv,0.123580588,0.955073152,0.000968054,0.1,0.001917546
data/kpi/kpi_20.csv,0.549107143,0.63003663,1,0.098214286,0.178861789
data/kpi/kpi_21.csv,0.411545624,0.151351351,0.036809816,1,0.071005917
data/kpi/kpi_22.csv,0.500730994,0.020437433,0.019030521,1,0.037350247
data/kpi/kpi_23.csv,0.14579646,0.198547215,0.419689119,0.27,0.328600406
data/kpi/kpi_24.csv,0.9463138,0.9375,0.9375,1,0.967741935
data/kpi/kpi_25.csv,0.333998702,0.470138889,0.470352982,0.997786795,0.639328764
,,,,,
,,,,,
data/kpi/kpi_0.csv,0.85998897,0.378230399,0.378230399,1,0.548863817
data/kpi/kpi_1.csv,nan,0.573394495,0,0,0
data/kpi/kpi_2.csv,0.22843326,0.969989282,0,0,0
data/kpi/kpi_3.csv,0.468007672,0.680161943,0.035307517,0.234848485,0.061386139
data/kpi/kpi_4.csv,0.29993907,0.977346278,0.1,0.014492754,0.025316456
data/kpi/kpi_5.csv,0.49872126,0.231492944,0.223154362,0.980825959,0.363586659
data/kpi/kpi_6.csv,0.155487805,0.215189873,0.411290323,0.31097561,0.354166667
data/kpi/kpi_7.csv,nan,0.003257329,0,0,0
data/kpi/kpi_8.csv,0.445333086,0.243781095,0.644444444,0.09148265,0.160220994
data/kpi/kpi_9.csv,0.693230506,0.012787724,0.005154639,1,0.01025641
data/kpi/kpi_10.csv,0.987617421,0.660425532,0.009925558,1,0.01965602
data/kpi/kpi_11.csv,0.5,0.842975207,0.842975207,1,0.914798206
data/kpi/kpi_12.csv,0.87414134,0.489415749,0.488656195,0.970537262,0.650029019
data/kpi/kpi_13.csv,0.029624893,0.758708581,0,0,0
data/kpi/kpi_14.csv,0.49936143,0.946223565,0,0,0
data/kpi/kpi_15.csv,0.646517411,0.638264777,0.586117512,0.756224452,0.660392666
data/kpi/kpi_16.csv,nan,0.000155581,0,0,0
data/kpi/kpi_17.csv,0.390278829,0.436661699,0.334975369,0.425531915,0.374862183
data/kpi/kpi_18.csv,0.561349789,0.568620038,0.054640069,0.552631579,0.099447514
data/kpi/kpi_19.csv,0.985574889,0.000733676,0.000431704,1,0.000863036
data/kpi/kpi_20.csv,0.5,0.58974359,0,0,0
data/kpi/kpi_21.csv,0.600558659,0.87027027,0,0,0
data/kpi/kpi_22.csv,0.45160267,0.813194693,0.008403361,0.075471698,0.015122873
data/kpi/kpi_23.csv,0.463318584,0.263922518,0.388888889,0.023333333,0.044025157
data/kpi/kpi_24.csv,0.663516068,0.657608696,0.962025316,0.660869565,0.783505155
data/kpi/kpi_25.csv,0.693708527,0.690104167,0.646704689,0.752858724,0.695755923
,,,,,
,,,,,
data/kpi/kpi_0.csv,0.285846713,0.495181778,0.292979943,0.236826867,0.261927634
data/kpi/kpi_1.csv,nan,0.48088685,0,0,0
data/kpi/kpi_2.csv,0.272277228,0.939978564,0,0,0
data/kpi/kpi_3.csv,0.501235876,0.044534413,0.044534413,1,0.085271318
data/kpi/kpi_4.csv,0.737507072,0.042071197,0.02075188,1,0.040659988
data/kpi/kpi_5.csv,0.40717374,0.475035075,0.151213917,0.291666667,0.19916908
data/kpi/kpi_6.csv,0.5,0.308016878,0,0,0
data/kpi/kpi_7.csv,nan,0.905130293,0,0,0
data/kpi/kpi_8.csv,0.43533123,0.686567164,0.764542936,0.870662461,0.814159292
data/kpi/kpi_9.csv,0.028277635,0.695652174,0,0,0
data/kpi/kpi_10.csv,0.204099061,0.116595745,0.002884615,0.75,0.005747126
data/kpi/kpi_11.csv,0.725490196,0.537190083,1,0.450980392,0.621621622
data/kpi/kpi_12.csv,0.11821106,0.513124471,0.642857143,0.00779896,0.015410959
data/kpi/kpi_13.csv,0.553069054,0.996601529,0,0,0
data/kpi/kpi_14.csv,0.377957869,0.624773414,0.016363636,0.101123596,0.028169014
data/kpi/kpi_15.csv,0.42826216,0.471828552,0.467750486,0.983649201,0.634011976
data/kpi/kpi_16.csv,nan,0.438324906,0,0,0
data/kpi/kpi_17.csv,0.135065867,0.604570293,1,0.003754693,0.007481297
data/kpi/kpi_18.csv,0.727004443,0.95047259,0.433070866,0.48245614,0.456431535
data/kpi/kpi_19.csv,0.022753767,0.987311726,0,0,0
data/kpi/kpi_20.csv,0.643883097,0.644688645,0.559055118,0.633928571,0.594142259
data/kpi/kpi_21.csv,0.389199255,0.048648649,0.027777778,0.833333333,0.053763441
data/kpi/kpi_22.csv,0.547062921,0.310147006,0.021483376,0.79245283,0.041832669
data/kpi/kpi_23.csv,0.5,0.273607748,0,0,0
data/kpi/kpi_24.csv,0.204410838,0.201086957,0.93220339,0.15942029,0.272277228
data/kpi/kpi_25.csv,0.499773223,0.528819444,0.363636364,0.00147547,0.002939015
,,,,,
,,,,,
data/kpi/kpi_0.csv,0.569311189,0.511388524,0.398058252,0.569774175,0.46868302
data/kpi/kpi_1.csv,nan,0.04969419,0,0,0
data/kpi/kpi_2.csv,0.63820132,0.648445874,0.04491018,0.625,0.083798883
data/kpi/kpi_3.csv,0.499646893,0.954790823,0,0,0
data/kpi/kpi_4.csv,0.706911259,0.095910562,0.018280949,0.826086957,0.035770317
data/kpi/kpi_5.csv,0.528770961,0.276223488,0.230228001,0.953171091,0.370875179
data/kpi/kpi_6.csv,0.860967257,0.860759494,0.933774834,0.859756098,0.895238095
data/kpi/kpi_7.csv,nan,0.015879479,0,0,0
data/kpi/kpi_8.csv,0.507886435,0.223880597,1,0.015772871,0.031055901
data/kpi/kpi_9.csv,0.930876892,0.00511509,0.00511509,1,0.010178117
data/kpi/kpi_10.csv,0.959222886,0.209361702,0.004287245,1,0.008537887
data/kpi/kpi_11.csv,0.401960784,0.67768595,0.811881188,0.803921569,0.807881773
data/kpi/kpi_12.csv,0.2819035,0.525402202,0.533880903,0.225303293,0.316879951
data/kpi/kpi_13.csv,0.917092924,0.004248088,0.003401361,1,0.006779661
data/kpi/kpi_14.csv,0.380702283,0.06163142,0.046468401,0.842696629,0.088079859
data/kpi/kpi_15.csv,0.657997249,0.648116142,0.590997499,0.790412486,0.676311606
data/kpi/kpi_16.csv,nan,0.065499806,0,0,0
data/kpi/kpi_17.csv,0.562718946,0.55787382,0.453524004,0.555694618,0.49943757
data/kpi/kpi_18.csv,0.433002696,0.571644612,0.029547553,0.280701754,0.053467001
data/kpi/kpi_19.csv,0.986246276,0.000431574,0.000431574,1,0.000862776
data/kpi/kpi_20.csv,0.5,0.41025641,0.41025641,1,0.581818182
data/kpi/kpi_21.csv,0.440409683,0.108108108,0.035087719,1,0.06779661
data/kpi/kpi_22.csv,0.50016206,0.9630692,0.019230769,0.018867925,0.019047619
data/kpi/kpi_23.csv,0.891858407,0.88377724,0.963235294,0.873333333,0.916083916
data/kpi/kpi_24.csv,0.939130435,0.9375,0.9375,1,0.967741935
data/kpi/kpi_25.csv,0.491637086,0.478125,0.468395115,0.806344522,0.592572513
,,,,,
,,,,,
