kpi,auc,accuracy,Precision,Recall,F1 score
data/kpi/kpi_0.csv,0.5,0.621769601,0,0,0
data/kpi/kpi_1.csv,nan,0.39029052,0,0,0
data/kpi/kpi_2.csv,0.400440044,0.947481243,0,0,0
data/kpi/kpi_3.csv,0.5,0.044534413,0.044534413,1,0.085271318
data/kpi/kpi_4.csv,0.507246377,0.979699912,0,0,0
data/kpi/kpi_5.csv,0.5,0.223817777,0.223817777,1,0.365769775
data/kpi/kpi_6.csv,0.367565987,0.383966245,0.577586207,0.408536585,0.478571429
data/kpi/kpi_7.csv,nan,0.988192182,0,0,0
data/kpi/kpi_8.csv,0.5,0.788557214,0.788557214,1,0.88178025
data/kpi/kpi_9.csv,0.579120251,0.99488491,0,0,0
data/kpi/kpi_10.csv,0.263450043,0.017021277,0.002592913,0.75,0.005167959
data/kpi/kpi_11.csv,0.519607843,0.190082645,1,0.039215686,0.075471698
data/kpi/kpi_12.csv,0.705865791,0.511430991,0,0,0
data/kpi/kpi_13.csv,0.337382779,0.058623619,0.001805054,0.5,0.003597122
data/kpi/kpi_14.csv,0.49936143,0.945015106,0,0,0
data/kpi/kpi_15.csv,0.489409142,0.456446595,0.460425384,0.981419547,0.626794826
data/kpi/kpi_16.csv,nan,0.969324517,0,0,0
data/kpi/kpi_17.csv,0.562866371,0.60307998,0,0,0
data/kpi/kpi_18.csv,0.5,0.043100189,0.043100189,1,0.082638637
data/kpi/kpi_19.csv,0.319215492,0.302792283,0.000185747,0.3,0.000371264
data/kpi/kpi_20.csv,0.5,0.41025641,0.41025641,1,0.581818182
data/kpi/kpi_21.csv,0.544692737,0.059459459,0.033333333,1,0.064516129
data/kpi/kpi_22.csv,0.5,0.980996773,0,0,0
data/kpi/kpi_23.csv,0.5,0.273607748,0,0,0
data/kpi/kpi_24.csv,0.473913043,0.9375,0.9375,1,0.967741935
data/kpi/kpi_25.csv,0.476576909,0.457118056,0.463393171,0.971228329,0.627427618
