kpi,auc,accuracy,Precision,Recall,F1 score
data/kpi/kpi_0.csv,0.5,0.955166147,0,0,0
data/kpi/kpi_1.csv,nan,0.998066512,0,0,0
data/kpi/kpi_2.csv,0.69847071,0.410003087,0.00987013,0.791666667,0.019497178
data/kpi/kpi_3.csv,0.51114498,0.003855908,0.003417476,1,0.006811673
data/kpi/kpi_4.csv,0.500116517,0.0018351,0.001783499,1,0.003560647
data/kpi/kpi_5.csv,0.5,0.929753672,0,0,0
data/kpi/kpi_6.csv,0.5,0.994538249,0,0,0
data/kpi/kpi_7.csv,nan,0.523495466,0,0,0
data/kpi/kpi_8.csv,0.50001138,0.007186116,0.00716368,1,0.014225453
data/kpi/kpi_9.csv,0.35878553,0.002320186,0.002320186,1,0.00462963
data/kpi/kpi_10.csv,0.212432223,0.003480278,0.001549787,1,0.003094778
data/kpi/kpi_11.csv,0.5,0.997785711,0,0,0
data/kpi/kpi_12.csv,0.279626639,0.058931672,0.058931672,1,0.111304012
data/kpi/kpi_13.csv,0.665762974,0.996906419,0,0,0
data/kpi/kpi_14.csv,0.5,0.997705417,0,0,0
data/kpi/kpi_15.csv,0.535956805,0.942411586,0.834782609,0.071348941,0.131461828
data/kpi/kpi_16.csv,nan,0,0,0,0
data/kpi/kpi_17.csv,0.433018585,0.040794445,0.040794445,1,0.078390974
data/kpi/kpi_18.csv,0.5,0.002758354,0.002758354,1,0.005501532
data/kpi/kpi_19.csv,0.798353872,0.081156789,0.000225785,0.8,0.000451442
data/kpi/kpi_20.csv,0.5,0.002530787,0.002530787,1,0.005048798
data/kpi/kpi_21.csv,0.274286895,0.692783505,0,0,0
data/kpi/kpi_22.csv,0.5,0.001374802,0.001374802,1,0.002745829
data/kpi/kpi_23.csv,0.501666667,0.99324141,1,0.003333333,0.006644518
data/kpi/kpi_24.csv,0.578188371,0.008742434,0.008742434,1,0.017333333
data/kpi/kpi_25.csv,0.500184434,0.938490172,1,0.000368868,0.000737463
