kpi,auc,accuracy,Precision,Recall,F1 score,,,kpi,auc,accuracy,Precision,Recall,F1 score
,,,,,,,,,,,,,
label,,,,,,,,Œﬁlabel¥¶¿Ì,,,,,
data/kpi/kpi_8.csv,0.5,0.14743471,0.14743471,1,0.256981437,,,data/kpi/kpi_8.csv,0.500004876,0.007711883,0.007702282,1,0.01528682
data/kpi/kpi_8.csv,0.527638191,0.860714947,1,0.055276382,0.104761905,,,data/kpi/kpi_8.csv,0.5,0.992297793,0,0,0
,,,,,,,,data/kpi/kpi_8.csv,0.5,0.007702207,0.007702207,1,0.015286673
data/kpi/kpi_6.csv,0.493877551,0.678821879,0.684582744,0.987755102,0.808688388,,,,,,,,
data/kpi/kpi_6.csv,0.5,0.687237027,0.687237027,1,0.814630091,,,data/kpi/kpi_6.csv,0.5,0.993015764,0,0,0
,,,,,,,,data/kpi/kpi_6.csv,0.542712375,0.953533453,0.021423635,0.126530612,0.036643026
data/kpi/kpi_11.csv,0.5,0.94527027,0,0,0,,,data/kpi/kpi_6.csv,0.556215749,0.924541749,0.017088862,0.173469388,0.031112738
data/kpi/kpi_11.csv,0.5,0.05472973,0.05472973,1,0.103779628,,,,,,,,
,,,,,,,,data/kpi/kpi_11.csv,0.5,0.996865386,0,0,0
data/kpi/kpi_23.csv,0.544658228,0.665265452,0.153533299,0.383735705,0.219317357,,,data/kpi/kpi_11.csv,0.5,0.003134614,0.003134614,1,0.006249638
data/kpi/kpi_23.csv,0.54974702,0.888992683,0.94047619,0.100381194,0.181400689,,,data/kpi/kpi_11.csv,0.499990295,0.996846036,0,0,0
,,,,,,,,,,,,,
data/kpi/kpi_24.csv,0.939352547,0.844616377,1,0.736647999,0.848356143,,,data/kpi/kpi_23.csv,0.5,0.992382888,0,0,0
data/kpi/kpi_24.csv,0.939352547,0.844616377,1,0.736647999,0.848356143,,,data/kpi/kpi_23.csv,0.494269431,0.010007743,0.007530252,0.986022872,0.014946359
data/kpi/kpi_24.csv,0.939352547,0.844616377,1,0.736647999,0.848356143,,,data/kpi/kpi_23.csv,0.5,0.992382888,0,0,0
data/kpi/kpi_24.csv,0.937167054,0.844616377,1,0.736647999,0.848356143,,,,,,,,
data/kpi/kpi_24.csv,0.090734832,0.582930368,0.587094156,0.987979784,0.736520544,,,data/kpi/kpi_24.csv,0.939352547,0.978649894,1,0.736647999,0.848356143
data/kpi/kpi_24.csv,0.058530255,0.582688588,0.586993586,0.987570004,0.736327528,,,data/kpi/kpi_24.csv,0.939352547,0.978649894,1,0.736647999,0.848356143
data/kpi/kpi_24.csv,0.030642077,0.528610574,0.563197664,0.895915858,0.691622291,,,data/kpi/kpi_24.csv,0.939352547,0.978649894,1,0.736647999,0.848356143
data/kpi/kpi_24.csv,0.942947367,0.926499033,1,0.875426854,0.933576111,,,data/kpi/kpi_24.csv,0.939352547,0.978649894,1,0.736647999,0.848356143
data/kpi/kpi_24.csv,0.943349199,0.844616377,1,0.736647999,0.848356143,,,data/kpi/kpi_24.csv,0.940376998,0.978649894,1,0.736647999,0.848356143
data/kpi/kpi_24.csv,0.953728898,0.936976144,0.993062886,0.899467286,0.943950688,,,data/kpi/kpi_24.csv,0.880897134,0.979801559,0.979919679,0.766561945,0.860208461
data/kpi/kpi_24.csv,0.927161583,0.846389426,1,0.739653053,0.850345477,,,data/kpi/kpi_24.csv,0.030006059,0.077936747,0.077430699,0.95041661,0.143195242
data/kpi/kpi_24.csv,0.942289305,0.844777563,1,0.736921186,0.848537276,,,data/kpi/kpi_24.csv,0.921985345,0.97714387,0.922656376,0.783772709,0.847562777
,,,,,,,,data/kpi/kpi_24.csv,0.953736832,0.980233434,0.992702029,0.761781177,0.86204498
,,,,,,,,data/kpi/kpi_24.csv,0.061718623,0.08099309,0.080999369,0.999043846,0.149849413
,,,,,,,,data/kpi/kpi_24.csv,0.057514034,0.079852498,0.079949886,0.98497473,0.147895196
,,,,,,,,data/kpi/kpi_24.csv,0.960447577,0.970433203,0.750673709,0.95123617,0.839137245
,,,,,,,,data/kpi/kpi_24.csv,0.07307414,0.081070606,0.081070606,1,0.149982074
label+stl,,,,,,,,,,,,,
kpi,auc,accuracy,Precision,Recall,F1 score,,,,,,,,
data/kpi/kpi_24.csv,0.464064803,0.409977434,0,0,0,,,,,,,,
data/kpi/kpi_24.csv,0.464064803,0.409977434,0,0,0,,,,,,,,
data/kpi/kpi_24.csv,0.607281465,0.596711799,0.598119759,0.964622319,0.738393977,,,,,,,,
data/kpi/kpi_24.csv,0.574313528,0.407640232,0.491584446,0.115694577,0.187306502,,,,,,,,
data/kpi/kpi_24.csv,0.57316681,0.595180529,0.594118611,0.990711651,0.74279277,,,,,,,,
data/kpi/kpi_24.csv,0.412992848,0.411347518,0.595505618,0.007239448,0.014304993,,,,,,,,
data/kpi/kpi_24.csv,0.37234769,0.427063185,0.514133333,0.526704002,0.520342757,,,,,,,,
data/kpi/kpi_24.csv,0.419363209,0.38620245,0.37939493,0.06337932,0.108614232,,,,,,,,
data/kpi/kpi_24.csv,0.593133997,0.590425532,0.590274978,0.999863407,0.742318223,,,,,,,,
data/kpi/kpi_24.csv,0.386368729,0.411428111,0.501587862,0.388334927,0.437755023,,,,,,,,
data/kpi/kpi_24.csv,0.559101896,0.59445519,0.592890187,0.997814506,0.743814276,,,,,,,,
